Date,Consommation,Date,Jour,Mois,Année,CO2_moy,CO2
2013-01-01,1309122.0,2013-01-01,1,1,2013,34.833333333333336,45.0
2013-01-02,1548043.0,2013-01-02,2,1,2013,42.375,65.0
2013-01-03,1599625.0,2013-01-03,3,1,2013,57.208333333333336,91.0
2013-01-04,1565946.0,2013-01-04,4,1,2013,51.666666666666664,80.0
2013-01-05,1443648.0,2013-01-05,5,1,2013,33.041666666666664,47.0
2013-01-06,1405009.0,2013-01-06,6,1,2013,33.645833333333336,47.0
2013-01-07,1628795.0,2013-01-07,7,1,2013,75.4375,122.0
2013-01-08,1715953.0,2013-01-08,8,1,2013,90.375,155.0
2013-01-09,1750698.0,2013-01-09,9,1,2013,75.5,132.0
2013-01-10,1718843.0,2013-01-10,10,1,2013,74.45833333333333,127.0
2013-01-11,1681024.0,2013-01-11,11,1,2013,74.95833333333333,126.0
2013-01-12,1581883.0,2013-01-12,12,1,2013,67.9375,107.0
2013-01-13,1551408.0,2013-01-13,13,1,2013,63.854166666666664,99.0
2013-01-14,1828366.0,2013-01-14,14,1,2013,85.58333333333333,156.0
2013-01-15,1882454.0,2013-01-15,15,1,2013,87.45833333333333,164.0
2013-01-16,1908727.0,2013-01-16,16,1,2013,88.83333333333333,169.0
2013-01-17,2005960.0,2013-01-17,17,1,2013,92.8125,186.0
2013-01-18,2040522.0,2013-01-18,18,1,2013,101.35416666666667,206.0
2013-01-19,1833489.0,2013-01-19,19,1,2013,86.375,158.0
2013-01-20,1736155.0,2013-01-20,20,1,2013,86.1875,149.0
2013-01-21,1877189.0,2013-01-21,21,1,2013,93.41666666666667,175.0
2013-01-22,1889668.0,2013-01-22,22,1,2013,98.72916666666667,186.0
2013-01-23,1876785.0,2013-01-23,23,1,2013,104.39583333333333,195.0
2013-01-24,1884274.0,2013-01-24,24,1,2013,107.25,202.0
2013-01-25,1950447.0,2013-01-25,25,1,2013,104.3125,203.0
2013-01-26,1782182.0,2013-01-26,26,1,2013,93.75,167.0
2013-01-27,1625695.0,2013-01-27,27,1,2013,67.33333333333333,109.0
2013-01-28,1744360.0,2013-01-28,28,1,2013,85.85416666666667,149.0
2013-01-29,1712544.0,2013-01-29,29,1,2013,82.6875,141.0
2013-01-30,1607500.0,2013-01-30,30,1,2013,63.291666666666664,101.0
2013-01-31,1609348.0,2013-01-31,31,1,2013,63.0,101.0
2013-02-01,1585977.0,2013-02-01,1,2,2013,52.708333333333336,83.0
2013-02-02,1534545.0,2013-02-02,2,2,2013,40.854166666666664,62.0
2013-02-03,1575065.0,2013-02-03,3,2,2013,53.041666666666664,83.0
2013-02-04,1685148.0,2013-02-04,4,2,2013,68.10416666666667,114.0
2013-02-05,1719101.0,2013-02-05,5,2,2013,74.39583333333333,127.0
