Date,Consommation,Date,Jour,Mois,Année,CO2_moy,CO2
2012-01-01,2471592.0,2012-01-01,1,1,2012,37.583333333333336,92.890666
2012-01-02,2912815.0,2012-01-02,2,1,2012,33.6875,98.1254553125
2012-01-03,3252581.0,2012-01-03,3,1,2012,29.895833333333332,97.23861947916666
2012-01-04,3265403.0,2012-01-04,4,1,2012,29.270833333333332,95.58106697916665
2012-01-05,3319555.0,2012-01-05,5,1,2012,31.520833333333332,104.63513989583333
2012-01-06,3314845.0,2012-01-06,6,1,2012,40.208333333333336,133.28439270833334
2012-01-07,3031707.0,2012-01-07,7,1,2012,33.3125,100.9937394375
2012-01-08,2833583.0,2012-01-08,8,1,2012,34.1875,96.8731188125
2012-01-09,3227375.0,2012-01-09,9,1,2012,47.166666666666664,152.22452083333332
2012-01-10,3290786.0,2012-01-10,10,1,2012,51.5,169.475479
2012-01-11,3316060.0,2012-01-11,11,1,2012,53.708333333333336,178.10005583333336
2012-01-12,3430370.0,2012-01-12,12,1,2012,48.666666666666664,166.94467333333333
2012-01-13,3413680.0,2012-01-13,13,1,2012,57.979166666666664,197.92232166666665
2012-01-14,3254178.0,2012-01-14,14,1,2012,51.1875,166.573236375
2012-01-15,3264940.0,2012-01-15,15,1,2012,48.666666666666664,158.89374666666666
2012-01-16,3668048.0,2012-01-16,16,1,2012,72.41666666666667,265.62780933333335
2012-01-17,3776565.0,2012-01-17,17,1,2012,84.58333333333333,319.43445625
2012-01-18,3770913.0,2012-01-18,18,1,2012,79.22916666666667,298.7662945625
2012-01-19,3505306.0,2012-01-19,19,1,2012,67.4375,236.389073375
2012-01-20,3346416.0,2012-01-20,20,1,2012,56.770833333333336,189.978825
2012-01-21,2958923.0,2012-01-21,21,1,2012,32.208333333333336,95.30197829166667
2012-01-22,2765237.0,2012-01-22,22,1,2012,33.333333333333336,92.17456666666668
2012-01-23,3183694.0,2012-01-23,23,1,2012,49.6875,158.189795625
2012-01-24,3309320.0,2012-01-24,24,1,2012,65.125,215.519465
2012-01-25,3274679.0,2012-01-25,25,1,2012,60.729166666666664,198.8685267708333
2012-01-26,3285358.0,2012-01-26,26,1,2012,46.708333333333336,153.45359658333334
2012-01-27,3320659.0,2012-01-27,27,1,2012,49.166666666666664,163.26573416666665
2012-01-28,3129473.0,2012-01-28,28,1,2012,47.708333333333336,149.30194104166668
2012-01-29,3150764.0,2012-01-29,29,1,2012,48.5,152.812054
2012-01-30,3699865.0,2012-01-30,30,1,2012,65.29166666666667,241.5703522916667
2012-01-31,3828386.0,2012-01-31,31,1,2012,84.41666666666667,323.17958483333337
2012-02-01,4011836.0,2012-02-01,1,2,2012,91.5,367.082994
2012-02-02,4201153.0,2012-02-02,2,2,2012,100.95833333333333,424.14140495833334
2012-02-03,4283900.0,2012-02-03,3,2,2012,104.125,446.0610875
2012-02-04,4086357.0,2012-02-04,4,2,2012,102.41666666666667,418.51106275
2012-02-05,3985046.0,2012-02-05,5,2,2012,104.33333333333333,415.77313266666664
2012-02-06,4231291.0,2012-02-06,6,2,2012,115.79166666666667,489.9482370416667
2012-02-07,4376461.0,2012-02-07,7,2,2012,115.60416666666667,505.9371268541667
2012-02-08,4516641.0,2012-02-08,8,2,2012,122.54166666666667,553.476715875
2012-02-09,4457671.0,2012-02-09,9,2,2012,125.97916666666667,561.5736778541667
2012-02-10,4332607.0,2012-02-10,10,2,2012,124.5,539.4095715
2012-02-11,4221657.0,2012-02-11,11,2,2012,115.85416666666667,489.0965536875
2012-02-12,4089692.0,2012-02-12,12,2,2012,116.22916666666667,475.3414930833334
2012-02-13,4164993.0,2012-02-13,13,2,2012,114.375,476.371074375
2012-02-14,3959058.0,2012-02-14,14,2,2012,99.6875,394.668594375
2012-02-15,3799773.0,2012-02-15,15,2,2012,99.8125,379.2648425625
2012-02-16,3628424.0,2012-02-16,16,2,2012,89.02083333333333,323.00532816666663
2012-02-17,3536376.0,2012-02-17,17,2,2012,86.45833333333333,305.749175
2012-02-18,3162307.0,2012-02-18,18,2,2012,83.22916666666667,263.1961763541667
2012-02-19,3048656.0,2012-02-19,19,2,2012,73.72916666666667,224.77486633333334
2012-02-20,3511915.0,2012-02-20,20,2,2012,90.08333333333333,316.3650095833333
2012-02-21,3612370.0,2012-02-21,21,2,2012,106.47916666666667,384.6421472916667
2012-02-22,3554128.0,2012-02-22,22,2,2012,106.97916666666667,380.2176516666667
2012-02-23,3433738.0,2012-02-23,23,2,2012,84.625,290.58007825
2012-02-24,3209267.0,2012-02-24,24,2,2012,86.9375,279.0056498125
2012-02-25,2857923.0,2012-02-25,25,2,2012,75.02083333333333,214.4037650625
2012-02-26,2698009.0,2012-02-26,26,2,2012,58.541666666666664,157.94594354166665
2012-02-27,3159420.0,2012-02-27,27,2,2012,82.29166666666667,259.9939375
2012-02-28,2777785.0,2012-02-28,28,2,2012,89.21428571428571,247.81810464285712
2012-02-29,3056789.0,2012-02-29,29,2,2012,91.08333333333333,278.42253141666663
2012-03-01,3011780.0,2012-03-01,1,3,2012,84.39583333333333,254.18168291666666
2012-03-02,2957561.0,2012-03-02,2,3,2012,81.79166666666667,241.90384345833334
2012-03-03,2694223.0,2012-03-03,3,3,2012,45.291666666666664,122.02585004166666
2012-03-04,2615794.0,2012-03-04,4,3,2012,43.604166666666664,114.05951754166665
2012-03-05,3186477.0,2012-03-05,5,3,2012,79.16666666666667,252.26276250000004
2012-03-06,3310971.0,2012-03-06,6,3,2012,96.52083333333333,319.5776800625
2012-03-07,3350906.0,2012-03-07,7,3,2012,97.41666666666667,326.43409283333335
2012-03-08,3245355.0,2012-03-08,8,3,2012,92.64583333333333,300.6686184375
2012-03-09,3209508.0,2012-03-09,9,3,2012,96.47916666666667,309.65065725
2012-03-10,2832846.0,2012-03-10,10,3,2012,70.0625,198.476272875
2012-03-11,2611323.0,2012-03-11,11,3,2012,50.6875,132.3614345625
2012-03-12,2896607.0,2012-03-12,12,3,2012,67.8125,196.4261621875
2012-03-13,2886519.0,2012-03-13,13,3,2012,72.625,209.633442375
2012-03-14,2834283.0,2012-03-14,14,3,2012,78.16666666666667,221.5464545
2012-03-15,2797525.0,2012-03-15,15,3,2012,74.02083333333333,207.0751317708333
2012-03-16,2721186.0,2012-03-16,16,3,2012,58.125,158.16893625
2012-03-17,2513268.0,2012-03-17,17,3,2012,43.645833333333336,109.69367625
2012-03-18,2508676.0,2012-03-18,18,3,2012,48.145833333333336,120.78229658333335
2012-03-19,2952860.0,2012-03-19,19,3,2012,81.8125,241.58085875
2012-03-20,3043934.0,2012-03-20,20,3,2012,90.29166666666667,274.8418740833334
