Périmètre,Nature,Date,Heures,Consommation,Prévision J-1,Prévision J,Fioul,Charbon,Gaz,Nucléaire,Eolien,Solaire,Hydraulique,Pompage,Bioénergies,Ech. physiques,Taux de Co2,Ech. comm. Angleterre,Ech. comm. Espagne,Ech. comm. Italie,Ech. comm. Suisse,Ech. comm. Allemagne-Belgique,Fioul - TAC,Fioul - Cogén.,Fioul - Autres,Gaz - TAC,Gaz - Cogén.,Gaz - CCG,Gaz - Autres,Hydraulique - Fil de l?eau + éclusée,Hydraulique - Lacs,Hydraulique - STEP turbinage,Bioénergies - Déchets,Bioénergies - Biomasse,Bioénergies - Biogaz
France,Données temps réel,01/12/2019,00:00,60458,62100,60500,203,51,6742,40906,5614,0,8590,-608,796,-1971,56,-2000,-1214,-1873,-2815,5304,2,23,178,-1,2494,4248,1,6240,2275,75,220,329,247
France,Données temps réel,01/12/2019,00:15,60164,61250,59600,190,52,6834,41272,5318,0,8368,-652,796,-2146,56,,,,,,2,24,164,0,2472,4361,1,6178,2114,76,218,331,247
France,Données temps réel,01/12/2019,00:30,58729,60400,58700,189,51,6697,41065,5103,0,8201,-652,791,-2848,56,-2000,-1214,-1873,-2815,5354,1,24,164,-2,2476,4222,1,6138,1988,75,215,329,247
France,Données temps réel,01/12/2019,00:45,56802,59150,57600,177,53,6658,40986,4834,0,7852,-1910,786,-2768,57,,,,,,2,24,151,-2,2465,4194,1,6073,1704,75,211,328,247
France,Données temps réel,01/12/2019,01:00,56202,57900,56500,177,53,6564,40749,4872,0,7786,-1916,792,-3012,57,-2000,335,-1873,-2585,2906,2,24,151,0,2465,4098,1,6098,1613,75,215,330,247
France,Données temps réel,01/12/2019,01:15,56357,57900,56650,177,53,6760,41069,4903,0,7843,-1929,794,-3446,58,,,,,,2,24,151,0,2463,4296,1,6080,1687,76,218,329,247
France,Données temps réel,01/12/2019,01:30,55900,57900,56800,175,51,6697,40658,5020,0,7604,-1935,792,-3289,58,-2000,335,-1873,-2585,3106,0,24,151,-2,2465,4233,1,6002,1527,75,215,330,247
France,Données temps réel,01/12/2019,01:45,55741,57650,56000,176,52,6774,41192,4973,0,7726,-2975,796,-3103,59,,,,,,1,24,151,-2,2465,4310,1,6011,1640,75,219,330,247
France,Données temps réel,01/12/2019,02:00,55187,57400,55200,177,52,6680,41096,4867,0,7699,-3123,790,-3182,59,-2000,700,-1873,-2633,2614,2,24,151,-2,2466,4215,1,6024,1598,77,214,329,247
France,Données temps réel,01/12/2019,02:15,54932,56700,54600,176,52,6667,41248,4602,0,7702,-3132,794,-3309,59,,,,,,1,24,151,0,2326,4340,1,5965,1662,75,217,330,247
France,Données temps réel,01/12/2019,02:30,53989,56000,54000,175,51,6534,40919,4471,0,7387,-3133,796,-3344,59,-2000,700,-1873,-2633,2613,0,24,151,-1,2321,4213,1,5964,1347,76,219,330,247
France,Données temps réel,01/12/2019,02:45,53144,54950,53100,176,51,6154,40688,4457,0,7331,-3129,793,-3511,56,,,,,,1,24,151,0,2322,3831,1,5949,1307,75,218,328,247
France,Données temps réel,01/12/2019,03:00,52107,53900,52200,173,52,5815,40795,4502,0,7349,-3121,794,-4384,54,-1951,165,-1873,-2652,1170,-2,24,151,-2,2328,3488,1,5958,1316,75,218,329,247
France,Données temps réel,01/12/2019,03:15,51786,53150,51600,173,52,5962,40972,4514,0,7424,-3131,796,-5103,55,,,,,,-2,24,151,-1,2326,3636,1,5979,1370,75,219,330,247
France,Données temps réel,01/12/2019,03:30,51041,52400,51000,173,52,5855,40787,4486,0,7402,-3358,795,-5281,54,-1951,165,-1873,-2652,1173,-2,24,151,0,2325,3529,1,5969,1358,75,220,328,247
France,Données temps réel,01/12/2019,03:45,50424,51950,50550,173,52,5642,40693,4491,0,7477,-3593,795,-5434,53,,,,,,-2,24,151,-1,2321,3321,1,5983,1418,76,219,329,247
France,Données temps réel,01/12/2019,04:00,50141,51500,50100,173,51,5653,40726,4447,0,7434,-3587,794,-5680,53,-1951,132,-1873,-2626,-180,-2,24,151,-2,2325,3329,1,5972,1386,76,219,328,247
France,Données temps réel,01/12/2019,04:15,50159,51200,49850,173,52,5766,41162,4433,0,7408,-3576,795,-6185,54,,,,,,-2,24,151,-1,2327,3439,1,5914,1420,74,219,329,247
France,Données temps réel,01/12/2019,04:30,49644,50900,49600,175,52,5732,41226,4334,0,7446,-3570,794,-6676,54,-1951,132,-1873,-2626,-440,0,24,151,-1,2281,3451,1,5915,1455,76,218,329,247
