Date,Fioul,Charbon,Gaz,Nucléaire,Eolien,Solaire,Hydraulique,Bioénergies,Total
01/01/2014,427,1912,3867,85322,4382,340,13876,1367,111493
01/02/2014,420,1398,3359,72741,4964,512,13955,1275,98624
01/03/2014,471,2041,3338,71640,2589,1049,13882,1376,96386
01/04/2014,380,1527,1087,62369,2109,1148,11550,1097,81267
01/05/2014,345,733,1035,63367,3056,1337,12284,1228,83385
01/06/2014,304,705,942,61922,1921,1499,10044,1062,78399
01/07/2014,358,312,862,66728,1909,1352,12344,1200,85065
01/08/2014,329,159,927,61926,1948,1360,10589,1197,78435
01/09/2014,377,1373,1097,63811,1454,1257,7535,1112,78016
01/10/2014,471,2149,1981,65466,2548,938,7542,1224,82319
01/11/2014,453,1870,4458,72506,3002,477,9734,1412,93912
01/12/2014,435,2452,5564,83211,4237,368,11388,1470,109125
