Date,Fioul,Charbon,Gaz,Nucléaire,Eolien,Solaire,Hydraulique,Bioénergies,Total
01/01/2014,427,1912,3867,0,4382,340,13876,1367,26171
01/02/2014,420,1398,3359,0,4964,512,13955,1275,25883
01/03/2014,471,2041,3338,0,2589,1049,13882,1376,24746
01/04/2014,380,1527,1087,0,2109,1148,11550,1097,18898
01/05/2014,345,733,1035,0,3056,1337,12284,1228,20018
01/06/2014,304,705,942,0,1921,1499,10044,1062,16477
01/07/2014,358,312,862,0,1909,1352,12344,1200,18337
01/08/2014,329,159,927,0,1948,1360,10589,1197,16509
01/09/2014,377,1373,1097,0,1454,1257,7535,1112,14205
01/10/2014,471,2149,1981,0,2548,938,7542,1224,16853
01/11/2014,453,1870,4458,0,3002,477,9734,1412,21406
01/12/2014,435,2452,5564,0,4237,368,11388,1470,25914
