Date;Heures;Consommation;Prévision J-1;Prévision J;Fioul;Charbon;Gaz;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies;Ech. physiques;Taux de Co2;Gaz - Autres;Hydraulique - Fil de l?eau + éclusée;Hydraulique - Lacs;Hydraulique - STEP turbinage;Bioénergies - Déchets;Bioénergies - Biomasse;Bioénergies - Biogaz
01/01/2020;00:00;65827;68000;65800;176;42;6632;48876;3485;0;8882;-71;807;-3116;49;1;6189;2447;246;211;348;248
01/01/2020;00:15;65887;67300;65300;187;42;6652;49090;3509;0;9354;-72;811;-3806;49;1;6244;2793;317;216;347;248
01/01/2020;00:30;64773;66600;64800;187;45;6554;49050;3445;0;9149;-67;813;-4521;49;1;6212;2785;152;217;348;248
01/01/2020;00:45;63464;65750;64000;203;46;6252;48731;3223;0;8854;-27;813;-4746;48;1;6043;2415;396;218;347;248
01/01/2020;01:00;63246;64900;63200;204;41;6134;48802;3081;0;8740;-28;812;-4659;47;1;6023;2346;371;216;348;248
01/01/2020;01:15;63532;65200;63500;203;45;5746;49531;2919;0;8845;-32;813;-4658;45;1;5943;2391;511;218;347;248
01/01/2020;01:30;63002;65500;63800;203;45;5526;49346;2807;0;8712;-32;814;-4537;44;1;5921;2317;474;218;348;248
01/01/2020;01:45;62987;65450;63550;204;44;5318;49570;2706;0;8816;-32;811;-4566;42;1;5898;2384;534;215;348;248
01/01/2020;02:00;62521;65400;63300;203;45;5247;49438;2594;0;8267;-33;809;-4167;42;1;5888;2266;113;215;346;248
01/01/2020;02:15;62647;64700;62450;204;45;4598;49763;2575;0;7966;-46;809;-3385;39;1;5849;1970;147;214;347;248
01/01/2020;02:30;61624;64000;61600;203;41;4217;49340;2647;0;7814;-45;810;-3518;37;1;5845;1846;123;216;346;248
01/01/2020;02:45;60823;63000;60650;203;45;3901;49555;2728;0;7453;-449;811;-3537;35;1;5743;1570;140;217;346;248
01/01/2020;03:00;59685;62000;59700;203;45;3224;49513;2718;0;7377;-661;812;-3660;31;1;5750;1510;117;217;347;248
01/01/2020;03:15;59184;61250;59000;200;45;2824;49876;2753;0;7132;-739;811;-3832;28;1;5651;1332;149;216;347;248
01/01/2020;03:30;58306;60500;58300;200;45;2813;49540;2710;0;6979;-944;813;-3963;29;1;5569;1266;144;217;348;248
01/01/2020;03:45;57689;59800;57700;200;45;2819;49434;2726;0;6901;-1309;813;-4055;29;1;5485;1273;143;218;347;248
01/01/2020;04:00;57117;59100;57100;200;45;2808;48858;2701;0;6672;-1308;812;-3785;29;1;5451;1219;2;216;348;248
01/01/2020;04:15;56665;58650;56650;200;42;2836;49667;2662;0;6341;-2526;813;-3486;30;1;5351;989;1;217;348;248
01/01/2020;04:30;56218;58200;56200;200;41;2829;49230;2622;0;6294;-2525;814;-3404;30;1;5363;929;2;218;348;248
01/01/2020;04:45;55793;57950;56100;200;41;2811;48963;2612;0;6315;-2683;811;-3387;30;1;5408;905;2;217;346;248
01/01/2020;05:00;55802;57700;56000;200;45;2825;49186;2590;0;6348;-2998;811;-3317;30;1;5386;962;0;215;348;248
01/01/2020;05:15;56069;57750;55900;200;45;2833;49513;2578;0;6326;-3409;813;-2946;30;1;5403;923;0;218;347;248
01/01/2020;05:30;55860;57800;55800;200;45;2837;49447;2539;0;6314;-3413;812;-3033;30;1;5368;946;0;217;347;248
01/01/2020;05:45;55833;57800;55650;200;45;2833;49533;2483;0;6288;-3397;814;-3075;30;1;5306;982;0;219;347;248
01/01/2020;06:00;55577;57800;55500;200;41;2830;49433;2459;0;6219;-3404;813;-3130;30;1;5272;947;0;217;348;248
01/01/2020;06:15;56289;57900;55850;200;44;2835;49497;2404;0;6277;-2972;814;-2924;30;1;5279;998;0;217;349;248
01/01/2020;06:30;56124;58000;56200;200;45;2845;49512;2338;0;6244;-2970;814;-3016;30;1;5245;999;0;216;350;248
01/01/2020;06:45;56095;57950;56150;200;40;2836;49529;2298;0;6173;-2955;812;-2950;30;1;5170;1003;0;216;348;248
01/01/2020;07:00;56087;57900;56100;200;44;2838;49483;2202;0;6127;-2955;814;-2779;30;1;5155;972;0;217;349;248
01/01/2020;07:15;56252;58000;56250;200;45;2991;49184;2198;0;6196;-3237;815;-2257;32;1;5165;1031;0;218;349;248
01/01/2020;07:30;56383;58100;56400;200;42;3009;49434;2195;0;6214;-3435;816;-2203;32;1;5201;1013;0;219;349;248
01/01/2020;07:45;56426;58100;56500;200;43;2995;49255;2183;0;6273;-3439;813;-2011;32;1;5291;982;0;216;349;248
01/01/2020;08:00;56503;58100;56600;200;42;2983;49015;2108;0;6240;-3438;814;-1576;32;1;5296;944;0;218;348;248
01/01/2020;08:15;56166;57950;56400;200;42;2984;48898;2017;141;6273;-3433;813;-1769;32;1;5348;925;0;217;348;248
01/01/2020;08:30;56190;57800;56200;200;39;2979;48837;1858;164;6289;-3429;814;-1561;32;1;5338;951;0;216;350;248
01/01/2020;08:45;56114;57850;56150;200;42;3131;48977;1842;206;6283;-3428;814;-1953;33;1;5345;938;0;217;349;248
01/01/2020;09:00;56057;57900;56100;200;42;3263;48759;1782;271;6273;-3432;815;-1916;34;1;5398;875;0;217;350;248
01/01/2020;09:15;56274;58450;56450;200;42;3245;48766;1755;436;6161;-3352;812;-1791;34;1;5423;738;0;216;348;248
01/01/2020;09:30;56756;59000;56800;200;43;3269;48978;1705;622;6250;-3356;815;-1770;34;1;5448;802;0;217;350;248
01/01/2020;09:45;57142;59500;57200;200;45;3467;48852;1620;842;6300;-3358;812;-1638;35;1;5471;829;0;216;348;248
01/01/2020;10:00;57643;60000;57600;200;42;3454;48727;1596;1057;6246;-3198;816;-1297;35;1;5442;804;0;218;350;248
01/01/2020;10:15;58149;60550;58050;204;42;3427;48691;1636;1261;6475;-3216;813;-1184;34;1;5446;1029;0;216;349;248
01/01/2020;10:30;58521;61100;58500;204;45;3447;48752;1636;1498;6515;-3214;813;-1175;34;1;5458;1057;0;216;349;248
01/01/2020;10:45;58802;61500;58900;204;45;3455;48749;1631;1635;6507;-3229;814;-1009;34;1;5437;1070;0;216;350;248
01/01/2020;11:00;59316;61900;59300;203;46;3476;48682;1623;1806;6487;-3252;816;-571;35;1;5445;1042;0;218;350;248
01/01/2020;11:15;59825;62200;59750;204;44;3562;48846;1629;1991;6509;-2840;817;-937;35;1;5382;1127;0;220;349;248
01/01/2020;11:30;60195;62500;60200;204;42;3555;48764;1589;2134;6496;-2853;816;-552;35;1;5381;1115;0;218;350;248
01/01/2020;11:45;60507;63200;61300;204;46;3546;48733;1524;2204;6419;-2504;810;-475;34;1;5344;1075;0;217;345;248
01/01/2020;12:00;61315;63900;62400;204;46;3582;48862;1476;2341;6445;-2513;810;62;34;1;5352;1093;0;217;345;248
01/01/2020;12:15;62444;64300;62300;204;45;3568;48947;1414;2390;6570;-1728;812;222;34;1;5357;1213;0;216;348;248
01/01/2020;12:30;62909;64700;62200;204;46;3582;49227;1388;2454;6624;-1725;814;295;34;1;5390;1234;0;218;348;248
01/01/2020;12:45;63890;65350;63150;204;45;3607;49435;1283;2467;7436;-1728;813;328;33;1;5418;2018;0;216;349;248
01/01/2020;13:00;63311;66000;64100;204;42;3618;49467;1223;2438;7507;-1724;812;-276;33;1;5476;2031;0;215;349;248
01/01/2020;13:15;62771;64800;63050;204;42;3604;49393;1167;2387;7567;-1668;811;-736;33;1;5464;2103;0;215;348;248
01/01/2020;13:30;61997;63600;62000;203;45;3542;48937;1087;2354;7390;-1673;815;-703;33;1;5444;1946;0;217;350;248
01/01/2020;13:45;61317;62800;61400;204;45;3565;49163;1043;2329;6736;-1838;809;-739;34;1;5412;1324;0;214;347;248
01/01/2020;14:00;60761;62000;60800;203;46;3607;48993;1008;2236;6744;-1682;811;-1205;34;1;5421;1322;1;215;348;248
01/01/2020;14:15;60158;61750;60500;204;45;3648;49380;999;2004;7040;-1360;811;-2613;34;1;5395;1644;1;215;348;248
01/01/2020;14:30;59464;61500;60200;204;45;3635;48898;1004;1898;6923;-1364;808;-2587;34;1;5375;1546;2;213;347;248
01/01/2020;14:45;58752;60550;59300;204;45;3779;48834;993;1679;6813;-1250;813;-3158;36;1;5401;1411;1;217;348;248
01/01/2020;15:00;58177;59600;58400;203;45;3903;48505;965;1484;6848;-1256;809;-3329;37;1;5391;1456;1;214;347;248
01/01/2020;15:15;58274;59300;58150;204;45;4212;49073;1005;1271;7168;-555;812;-4961;38;1;5417;1750;1;216;348;248
01/01/2020;15:30;57797;59000;57900;204;42;4288;49290;1009;1053;7271;-552;810;-5618;38;1;5449;1820;2;215;347;248
01/01/2020;15:45;57425;58750;57700;204;41;4345;49396;1024;795;7613;-392;812;-6413;38;1;5559;2053;1;217;347;248
01/01/2020;16:00;57589;58500;57500;203;42;4437;48816;1027;586;8422;-237;811;-6518;39;1;5650;2712;60;215;348;248
